customer_id,first_name,last_name,gender,birth_date,age,age_group,email,phone,address_id,preferences
1,Alan,Fisher,Male,1975-10-29,51,51-65,alan.fisher@gmail.com,(221)236-4406x8833,1508,"{'preferred_categories': {'Books': 5, 'Groceries': 5, 'Automotive': 5, 'Furniture': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
2,Maria,Beck,Female,1993-12-20,33,26-35,maria.beck@yahoo.com,(447)983-3485x34608,3659,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
3,Benjamin,Mayer,Male,1983-05-17,43,36-50,benjamin.mayer@gmail.com,001-857-901-3018x4649,5471,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
4,Kevin,Irwin,Male,1988-05-31,38,36-50,kevin.irwin@yahoo.com,+1-495-405-7134,3081,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
5,Jennifer,Bass,Female,1993-07-25,33,26-35,jennifer.bass@yahoo.com,001-473-771-9210x1913,526,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': True, 'vip': False}"
6,Dylan,Hawkins,Male,1961-10-30,65,51-65,dylan.hawkins@yahoo.com,+1-972-545-2690x3088,1435,"{'preferred_categories': {'Books': 5, 'Groceries': 5, 'Automotive': 5, 'Furniture': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': True, 'vip': False}"
7,Joel,Stewart,Male,2006-05-29,20,18-25,joel.stewart@hotmail.com,(258)874-7282,5049,"{'preferred_categories': {'Electronics': 5, 'Clothing': 4, 'Sports': 4, 'Shoes': 3}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': False, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
8,Alan,David,Male,1984-08-18,42,36-50,alan.david@yahoo.com,001-528-635-6859,2287,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': True, 'vip': False}"
9,Anita,Allen,Female,2007-10-25,19,18-25,anita.allen@gmail.com,434-705-5507,3227,"{'preferred_categories': {'Electronics': 5, 'Clothing': 4, 'Sports': 4, 'Shoes': 3}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
10,Katherine,Jones,Female,1995-11-24,31,26-35,katherine.jones@hotmail.com,+1-573-871-2770x0406,2463,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': True}, 'newsletter': True, 'vip': False}"
11,Christina,Bradshaw,Female,1985-07-05,41,36-50,christina.bradshaw@gmail.com,682.909.5951x3523,4953,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': True}, 'newsletter': True, 'vip': True}"
12,Lisa,Pierce,Female,1993-12-08,33,26-35,lisa.pierce@yahoo.com,445.792.2950,4758,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': True, 'vip': False}"
13,Nathan,Richardson,Male,1969-12-02,57,51-65,nathan.richardson@gmail.com,(980)839-5891,1740,"{'preferred_categories': {'Books': 5, 'Groceries': 5, 'Automotive': 5, 'Furniture': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
14,Kylie,Stevens,Female,1991-03-22,35,26-35,kylie.stevens@yahoo.com,001-639-644-6390,5096,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': True, 'vip': False}"
15,Lauren,Patterson,Female,1945-05-16,81,65+,lauren.patterson@yahoo.com,001-505-842-1564x779,4537,"{'preferred_categories': {'Groceries': 5, 'Books': 5, 'Home & Kitchen': 4, 'Beauty & Health': 2}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
16,Sierra,Mcdonald,Female,1942-01-19,84,65+,sierra.mcdonald@hotmail.com,001-388-669-9687,904,"{'preferred_categories': {'Groceries': 5, 'Books': 5, 'Home & Kitchen': 4, 'Beauty & Health': 2}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
17,Ronald,Garcia,Male,1990-04-16,36,36-50,ronald.garcia@hotmail.com,(418)790-1552,1158,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': True, 'vip': False}"
18,Jennifer,Mcdonald,Female,2003-11-22,23,18-25,jennifer.mcdonald@yahoo.com,657-562-5729x18811,3543,"{'preferred_categories': {'Electronics': 5, 'Clothing': 4, 'Sports': 4, 'Shoes': 3}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': False, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
19,Wendy,Phillips,Female,1967-02-14,59,51-65,wendy.phillips@gmail.com,214.277.3099x6943,3303,"{'preferred_categories': {'Books': 5, 'Groceries': 5, 'Automotive': 5, 'Furniture': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': False, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
20,Lisa,Yoder,Female,1946-08-14,80,65+,lisa.yoder@yahoo.com,(230)864-9365x143,3742,"{'preferred_categories': {'Groceries': 5, 'Books': 5, 'Home & Kitchen': 4, 'Beauty & Health': 2}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
21,Shelby,Hines,Female,2000-01-24,26,18-25,shelby.hines@hotmail.com,4648722907,4215,"{'preferred_categories': {'Electronics': 5, 'Clothing': 4, 'Sports': 4, 'Shoes': 3}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
22,Ashley,Dickson,Female,1973-10-13,53,51-65,ashley.dickson@gmail.com,403-245-6285x9040,4704,"{'preferred_categories': {'Books': 5, 'Groceries': 5, 'Automotive': 5, 'Furniture': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
23,Angela,Gray,Female,1972-04-09,54,51-65,angela.gray@yahoo.com,986.220.6969,3084,"{'preferred_categories': {'Books': 5, 'Groceries': 5, 'Automotive': 5, 'Furniture': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': True, 'vip': False}"
24,Scott,Reynolds,Male,1968-01-11,58,51-65,scott.reynolds@yahoo.com,+1-632-296-3202x446,2920,"{'preferred_categories': {'Books': 5, 'Groceries': 5, 'Automotive': 5, 'Furniture': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': False, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
25,Jacqueline,Riddle,Female,1984-08-15,42,36-50,jacqueline.riddle@yahoo.com,001-943-430-6609x55203,1451,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': False}, 'newsletter': True, 'vip': False}"
26,Scott,Parker,Male,1987-05-11,39,36-50,scott.parker@gmail.com,990-368-5957x7431,4486,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
27,Anne,Cox,Female,1980-10-01,46,36-50,anne.cox@yahoo.com,+1-747-794-5811x0108,4112,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
28,Amanda,Anderson,Female,1972-04-23,54,51-65,amanda.anderson@gmail.com,+1-425-272-1122x256,2837,"{'preferred_categories': {'Books': 5, 'Groceries': 5, 'Automotive': 5, 'Furniture': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': True, 'vip': False}"
29,Richard,Bell,Male,2000-01-28,26,18-25,richard.bell@gmail.com,001-504-570-7843,5380,"{'preferred_categories': {'Electronics': 5, 'Clothing': 4, 'Sports': 4, 'Shoes': 3}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': True, 'vip': True}"
30,Matthew,Perkins,Male,1987-03-20,39,36-50,matthew.perkins@yahoo.com,963-768-6390,4652,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
31,Erin,Moore,Female,1995-01-02,31,26-35,erin.moore@yahoo.com,001-893-456-6713x680,4966,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
32,Glenda,Thomas,Female,1962-01-29,64,51-65,glenda.thomas@hotmail.com,+1-373-638-1689x63483,1979,"{'preferred_categories': {'Books': 5, 'Groceries': 5, 'Automotive': 5, 'Furniture': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
