employee_id,first_name,last_name,department,position,manager_id,store_id,salary,commission,hire_date
1,Robin,Garcia,Management,Director,0,1,86797,0.0,2024-11-13 05:12:28
2,Kim,French,Management,Manager,1,1,47686,0.0,2019-09-28 21:11:17
3,Jessica,Meadows,Sales,Senior Salesperson,2,1,35517,0.07,2022-05-18 17:07:23
4,Shelia,Hendricks,Sales,Salesperson,3,1,32649,0.05,2024-12-12 04:42:33
5,Jennifer,Collins,Sales,Salesperson,3,1,34566,0.05,2023-09-06 08:25:49
6,Theresa,Smith,Sales,Salesperson,3,1,34983,0.05,2019-06-30 06:53:07
7,Kevin,Davis,Sales,Salesperson,3,1,32705,0.05,2024-02-05 00:37:22
8,Eric,Lam,Sales,Salesperson,3,1,23345,0.05,2020-03-04 06:55:42
9,Christopher,Spears,Sales,Salesperson,3,1,21996,0.05,2023-01-05 12:13:43
10,Craig,Estes,Sales,Salesperson,3,1,27293,0.05,2020-09-03 19:50:16
11,Justin,Irwin,Sales,Salesperson,3,1,26176,0.05,2022-01-07 22:08:37
12,Lori,Simmons,Sales,Salesperson,3,1,20199,0.05,2023-08-15 07:30:18
13,Danielle,Lynch,Sales,Salesperson,3,1,27662,0.05,2019-06-06 00:18:39
14,James,Martinez,Sales,Salesperson,3,1,31488,0.05,2019-05-30 21:21:23
15,Collin,Wilson,Sales,Salesperson,3,1,32072,0.05,2019-09-12 11:09:46
16,Evan,Fields,Sales,Salesperson,3,1,26287,0.05,2019-06-16 11:55:19
17,Mitchell,Cisneros,Support,Senior Support Agent,2,1,20604,0.0,2021-12-21 05:42:25
18,Cynthia,Mosley,Support,Support Agent,17,1,15619,0.0,2021-04-09 10:29:35
19,Shannon,Mitchell,Support,Support Agent,17,1,20893,0.0,2019-08-29 03:52:06
20,Rebecca,Miller,Support,Support Agent,17,1,18444,0.0,2024-04-03 12:46:10
21,Scott,Young,Support,Support Agent,17,1,18570,0.0,2021-01-20 04:22:03
22,Jacob,Scott,Support,Support Agent,17,1,21530,0.0,2023-09-06 17:15:34
23,Frank,Cook,Logistics,Chief of Logistics,2,1,43342,0.0,2019-11-30 01:25:26
24,Alicia,Johnson,Logistics,Courier,23,1,27654,0.0,2023-07-17 08:33:09
25,Jimmy,Sanford,Logistics,Warehouse Worker,23,1,15290,0.0,2024-08-16 00:19:29
26,Marissa,Lucas,Logistics,Warehouse Worker,23,1,19499,0.0,2022-07-01 07:16:58
27,Louis,Evans,Logistics,Courier,23,1,23851,0.0,2024-08-14 02:25:00
28,Tasha,Branch,Logistics,Courier,23,1,15723,0.0,2020-07-02 16:22:16
29,Frank,Haynes,Logistics,Courier,23,1,20116,0.0,2020-09-13 19:12:19
30,Julie,Calderon,Logistics,Warehouse Worker,23,1,20975,0.0,2023-06-16 11:41:30
31,Christopher,Ponce,Logistics,Courier,23,1,17516,0.0,2022-07-26 13:21:55
32,Miguel,Campbell,Logistics,Courier,23,1,28674,0.0,2024-01-28 14:14:16
33,Angela,Brady,Logistics,Warehouse Worker,23,1,19656,0.0,2023-11-02 09:06:38
34,Angelica,Holmes,Logistics,Warehouse Worker,23,1,20366,0.0,2021-11-27 00:18:38
35,Jennifer,Pratt,Management,Director,0,2,65443,0.0,2021-10-08 12:56:43
36,James,Hawkins,Management,Manager,35,2,46021,0.0,2020-01-10 01:31:12
37,Julie,Gill,Sales,Senior Salesperson,36,2,32776,0.07,2020-01-25 09:58:55
38,Judy,Burton,Sales,Salesperson,37,2,29840,0.05,2023-05-21 06:28:58
39,Leslie,Smith,Sales,Salesperson,37,2,32371,0.05,2024-05-25 01:35:20
40,Anthony,Crosby,Sales,Salesperson,37,2,29196,0.05,2019-09-28 18:35:52
41,Ryan,Hill,Sales,Salesperson,37,2,34533,0.05,2019-01-08 21:56:38
42,Gregory,Mccarthy,Sales,Salesperson,37,2,33733,0.05,2022-03-08 13:02:49
43,Jeffrey,Williams,Sales,Salesperson,37,2,31947,0.05,2019-04-27 07:21:32
44,Brian,Diaz,Sales,Salesperson,37,2,32119,0.05,2023-09-17 23:17:26
45,Joseph,Cummings,Sales,Salesperson,37,2,27775,0.05,2019-09-28 06:05:51
46,Jessica,Pearson,Sales,Salesperson,37,2,29617,0.05,2021-10-08 21:06:29
47,Natasha,Noble,Support,Senior Support Agent,36,2,29271,0.0,2023-07-08 03:30:01
48,Cynthia,Smith,Support,Support Agent,47,2,15910,0.0,2024-01-31 08:48:02
49,Christopher,Kent,Support,Support Agent,47,2,18984,0.0,2024-06-25 03:18:47
50,Jacob,Black,Support,Support Agent,47,2,15192,0.0,2023-05-24 13:43:53
51,David,Aguilar,Support,Support Agent,47,2,20693,0.0,2022-05-16 06:33:00
52,Mario,Nelson,Support,Support Agent,47,2,19684,0.0,2021-09-21 01:09:48
53,Tony,Benson,Logistics,Chief of Logistics,36,2,36679,0.0,2021-04-29 23:02:09
54,Joy,Hendricks,Logistics,Warehouse Worker,53,2,20734,0.0,2023-02-18 03:48:44
55,Steven,Lutz,Logistics,Courier,53,2,26917,0.0,2023-11-02 05:17:45
56,Amanda,Scott,Logistics,Courier,53,2,16480,0.0,2023-08-26 09:37:03
57,Alexandra,Bass,Logistics,Warehouse Worker,53,2,21120,0.0,2023-08-07 03:01:54
58,Joshua,Williams,Logistics,Courier,53,2,17149,0.0,2019-05-03 14:06:57
59,Shannon,Ford,Logistics,Warehouse Worker,53,2,15254,0.0,2021-08-26 16:51:24
60,Nathan,Chase,Logistics,Courier,53,2,17211,0.0,2021-09-05 04:43:29
61,Emily,Zhang,Logistics,Courier,53,2,16608,0.0,2021-10-12 00:35:23
62,Dylan,Lewis,Management,Director,0,3,63829,0.0,2019-11-19 05:22:43
63,Melanie,Watson,Management,Manager,62,3,49137,0.0,2023-11-13 18:23:45
64,Amanda,Waters,Sales,Senior Salesperson,63,3,35925,0.07,2024-06-22 03:00:29
65,Kevin,Diaz,Sales,Salesperson,64,3,34425,0.05,2023-01-24 09:16:59
66,Carla,Martin,Sales,Salesperson,64,3,30484,0.05,2023-03-12 20:40:48
67,Phillip,Taylor,Sales,Salesperson,64,3,20398,0.05,2022-06-13 15:49:51
68,Kevin,Garrett,Sales,Salesperson,64,3,34396,0.05,2023-02-08 23:34:45
69,Kaitlyn,Stafford,Sales,Salesperson,64,3,29606,0.05,2019-11-24 05:19:22
70,Tanya,Ramos,Sales,Salesperson,64,3,31235,0.05,2023-02-15 11:36:43
