номер,Особа,Вік,Відділ,Зарплатня,Стаж, роки
1,Коваленко Дмитро,44,маркетинг,48300,11
2,Олійник Олександр,29,маркетинг,35700,9
3,Савченко Максим,57,гуртовий,35200,13
4,Романенко Василь,42,гуртовий,23900,0
5,Василенко Віктор,36,маркетинг,24200,0
6,Іваненко Максим,55,гуртовий,26200,7
7,Петренко Артем,53,маркетинг,37600,5
8,Мельник Дмитро,32,гуртовий,35000,11
9,Олійник Михайло,65,гуртовий,38700,8
10,Захарченко Роман,36,маркетинг,23600,3,
11,Даниленко Артем,27,маркетинг,26400,7
12,Ковальчук Петро,29,маркетинг,23200,9
13,Коваленко Ігор,34,гуртовий,20200,2
14,Ткаченко Тарас,33,гуртовий,20900,1
15,Шевченко Сергій,36,гуртовий,22000,1
16,Григоренко Олександр,36,гуртовий,34200,12
17,Романенко Петро,28,роздрібний,36100,9
18,Захарченко Богдан,37,маркетинг,45000,16
19,Іваненко Микола,35,маркетинг,48500,17
20,Олійник Олег,32,маркетинг,20800,1
21,Мороз Юрій,32,гуртовий,20100,2
22,Ткаченко Богдан,30,гуртовий,31600,9
23,Іваненко Артем,31,роздрібний,33000,4
24,Василенко Олександр,30,маркетинг,39300,6
25,Романенко Артем,35,маркетинг,35800,3
26,Василенко Тарас,33,гуртовий,22600,3
27,Романенко Олександр,35,маркетинг,29700,8
28,Мороз Микола,39,маркетинг,37400,6
29,Кравченко Петро,32,маркетинг,31500,3
30,Ковальчук Тарас,28,гуртовий,29100,10
31,Савченко Олексій,29,маркетинг,27900,7
32,Мартинюк Михайло,28,маркетинг,39900,4
33,Петренко Володимир,45,маркетинг,55400,18
34,Петренко Іван,38,роздрібний,33700,12
35,Даниленко Віктор,25,гуртовий,28300,8
36,Мороз Роман,39,маркетинг,44500,16
37,Кравченко Андрій,32,маркетинг,43300,10
38,Шевченко Юрій,34,маркетинг,37100,14
39,Даниленко Володимир,32,гуртовий,33800,8
40,Мельник Олег,64,гуртовий,36500,7
41,Романенко Іван,43,маркетинг,27200,4
42,Шевченко Ігор,32,гуртовий,33100,3
43,Бондаренко Іван,50,маркетинг,27100,3
44,Олійник Віктор,45,гуртовий,27400,0
45,Романенко Володимир,56,маркетинг,29700,11
46,Петренко Олександр,36,роздрібний,21500,3
47,Лисенко Богдан,58,маркетинг,30400,5
48,Савченко Володимир,46,маркетинг,38300,16
49,Ковальчук Артем,44,маркетинг,34900,11
50,Лисенко Артем,46,гуртовий,31300,8
51,Коваленко Микола,61,маркетинг,27100,9
52,Даниленко Ігор,44,гуртовий,28500,7
53,Ткаченко Олександр,26,гуртовий,39700,8
54,Іваненко Віктор,39,гуртовий,23800,5
55,Савченко Ігор,48,гуртовий,23600,7
56,Ткаченко Микола,56,маркетинг,30100,7
57,Олійник Максим,38,маркетинг,21700,0
58,Савченко Богдан,64,роздрібний,31800,10
59,Лисенко Олександр,35,маркетинг,31500,5
60,Василенко Ігор,36,гуртовий,35700,8
61,Мартинюк Андрій,28,гуртовий,35000,6
62,Мороз Андрій,37,маркетинг,24400,2
63,Савченко Олександр,65,маркетинг,34300,7
64,Кравченко Богдан,40,маркетинг,25800,4
65,Гаврилюк Володимир,27,гуртовий,38000,7
66,Лисенко Юрій,65,гуртовий,23500,8
67,Захарченко Андрій,39,гуртовий,36300,5
68,Григоренко Сергій,46,гуртовий,23800,7
69,Григоренко Іван,64,маркетинг,22700,3
70,Кравченко Сергій,51,гуртовий,21500,2
71,Василенко Роман,45,гуртовий,35700,8
72,Савченко Роман,23,гуртовий,30500,3
73,Іваненко Олег,47,гуртовий,20500,3
74,Лисенко Іван,33,гуртовий,27100,2
75,Бондаренко Тарас,27,маркетинг,22500,1
76,Даниленко Олександр,38,маркетинг,32000,7
77,Іваненко Тарас,35,гуртовий,34600,12
78,Мартинюк Петро,27,маркетинг,37600,3
79,Романенко Роман,58,маркетинг,39700,9
80,Шевченко Дмитро,36,гуртовий,32300,3
81,Олійник Володимир,51,маркетинг,32900,5
82,Савченко Петро,61,роздрібний,29100,4
83,Петренко Михайло,62,маркетинг,20100,2
84,Петренко Роман,64,гуртовий,28300,8
85,Петренко Віктор,37,гуртовий,29100,7
86,Савченко Олег,50,маркетинг,32400,11
87,Бондаренко Роман,64,роздрібний,28300,5
88,Захарченко Олег,30,гуртовий,23800,2
